,pattern,frequency
180,"{'beef', 'root vegetables'}",171
181,"{'pork', 'root vegetables'}",134
182,"{'rolls/buns', 'citrus fruit'}",165
183,"{'other vegetables', 'frozen vegetables'}",175
184,"{'pip fruit', 'root vegetables'}",153
185,"{'other vegetables', 'butter'}",197
186,"{'whole milk', 'onions'}",119
187,"{'napkins', 'other vegetables'}",142
188,"{'shopping bags', 'rolls/buns'}",192
189,"{'other vegetables', 'root vegetables'}",466
190,"{'pip fruit', 'sausage'}",106
191,"{'tropical fruit', 'other vegetables'}",353
192,"{'newspapers', 'whole milk'}",269
193,"{'soda', 'domestic eggs'}",122
194,"{'salty snack', 'whole milk'}",110
195,"{'bottled water', 'margarine'}",101
196,"{'domestic eggs', 'other vegetables'}",219
197,"{'whole milk', 'waffles'}",125
198,"{'rolls/buns', 'other vegetables'}",419
199,"{'rolls/buns', 'fruit/vegetable juice'}",143
200,"{'whole milk', 'sausage'}",294
201,"{'pastry', 'shopping bags'}",117
202,"{'hamburger meat', 'other vegetables'}",136
203,"{'pastry', 'soda'}",207
204,"{'other vegetables', 'dessert'}",114
205,"{'yogurt', 'cream cheese'}",122
206,"{'yogurt', 'frankfurter'}",110
207,"{'fruit/vegetable juice', 'root vegetables'}",118
208,"{'whole milk', 'white bread'}",168
209,"{'sugar', 'whole milk'}",148
210,"{'curd', 'other vegetables'}",169
211,"{'shopping bags', 'other vegetables'}",228
212,"{'rolls/buns', 'margarine'}",145
213,"{'soda', 'bottled beer'}",167
214,"{'whole milk', 'long life bakery product'}",133
215,"{'domestic eggs', 'citrus fruit'}",102
216,"{'pastry', 'rolls/buns'}",206
217,"{'yogurt', 'beef'}",115
218,"{'citrus fruit', 'root vegetables'}",174
219,"{'canned beer', 'shopping bags'}",112
220,"{'whole milk', 'other vegetables'}",736
221,"{'brown bread', 'other vegetables'}",184
222,"{'soda', 'whole milk'}",394
223,"{'bottled water', 'rolls/buns'}",238
224,"{'soda', 'white bread'}",101
225,"{'oil', 'whole milk'}",111
226,"{'yogurt', 'other vegetables'}",427
227,"{'soda', 'rolls/buns'}",377
228,"{'canned beer', 'soda'}",136
229,"{'tropical fruit', 'sausage'}",137
230,"{'butter', 'whipped/sour cream'}",100
231,"{'other vegetables', 'pip fruit'}",257
232,"{'root vegetables', 'frozen vegetables'}",114
233,"{'whole milk', 'cream cheese'}",162
234,"{'beef', 'other vegetables'}",194
235,"{'pork', 'other vegetables'}",213
236,"{'whole milk', 'chocolate'}",164
237,"{'yogurt', 'sausage'}",193
238,"{'other vegetables', 'citrus fruit'}",284
239,"{'pastry', 'other vegetables'}",222
240,"{'whole milk', 'coffee'}",184
241,"{'rolls/buns', 'frozen vegetables'}",100
242,"{'rolls/buns', 'whipped/sour cream'}",144
243,"{'yogurt', 'rolls/buns'}",338
244,"{'bottled water', 'bottled beer'}",155
245,"{'tropical fruit', 'brown bread'}",105
246,"{'citrus fruit', 'pip fruit'}",136
247,"{'bottled water', 'other vegetables'}",244
248,"{'newspapers', 'soda'}",144
249,"{'tropical fruit', 'rolls/buns'}",242
250,"{'yogurt', 'napkins'}",121
251,"{'shopping bags', 'fruit/vegetable juice'}",105
252,"{'soda', 'sausage'}",239
253,"{'other vegetables', 'frankfurter'}",162
254,"{'bottled water', 'fruit/vegetable juice'}",140
255,"{'fruit/vegetable juice', 'other vegetables'}",207
256,"{'bottled water', 'sausage'}",118
257,"{'pastry', 'root vegetables'}",108
258,"{'whole milk', 'sliced cheese'}",106
259,"{'chicken', 'whole milk'}",173
260,"{'soda', 'fruit/vegetable juice'}",181
261,"{'newspapers', 'rolls/buns'}",194
262,"{'margarine', 'other vegetables'}",194
263,"{'berries', 'other vegetables'}",101
264,"{'newspapers', 'yogurt'}",151
265,"{'butter milk', 'other vegetables'}",102
266,"{'other vegetables', 'whipped/sour cream'}",284
267,"{'pastry', 'sausage'}",123
268,"{'whole milk', 'bottled beer'}",201
269,"{'soda', 'whipped/sour cream'}",114
270,"{'rolls/buns', 'butter'}",132
271,"{'rolls/buns', 'coffee'}",108
272,"{'bottled water', 'citrus fruit'}",133
273,"{'whole milk', 'frozen vegetables'}",201
274,"{'yogurt', 'fruit/vegetable juice'}",184
275,"{'whole milk', 'butter'}",271
276,"{'soda', 'citrus fruit'}",126
277,"{'bottled water', 'pip fruit'}",104
278,"{'canned beer', 'rolls/buns'}",111
279,"{'onions', 'other vegetables'}",140
280,"{'whole milk', 'napkins'}",194
281,"{'margarine', 'root vegetables'}",109
282,"{'yogurt', 'whipped/sour cream'}",204
283,"{'whole milk', 'root vegetables'}",481
284,"{'whole milk', 'hygiene articles'}",126
285,"{'bottled water', 'newspapers'}",111
286,"{'bottled water', 'shopping bags'}",108
287,"{'tropical fruit', 'whole milk'}",416
288,"{'newspapers', 'other vegetables'}",190
289,"{'yogurt', 'berries'}",104
290,"{'bottled water', 'soda'}",285
291,"{'whole milk', 'rolls/buns'}",557
292,"{'salty snack', 'other vegetables'}",106
293,"{'domestic eggs', 'whole milk'}",295
294,"{'tropical fruit', 'whipped/sour cream'}",136
295,"{'yogurt', 'whole milk', 'whipped/sour cream'}",107
296,"{'yogurt', 'other vegetables', 'whipped/sour cream'}",100
297,"{'tropical fruit', 'whole milk', 'other vegetables'}",168
298,"{'whole milk', 'pork', 'other vegetables'}",100
299,"{'whole milk', 'other vegetables', 'butter'}",113
300,"{'yogurt', 'whole milk', 'soda'}",103
301,"{'other vegetables', 'whole milk', 'citrus fruit'}",128
302,"{'whole milk', 'rolls/buns', 'other vegetables'}",176
303,"{'other vegetables', 'root vegetables', 'citrus fruit'}",102
304,"{'whole milk', 'rolls/buns', 'root vegetables'}",125
305,"{'rolls/buns', 'other vegetables', 'root vegetables'}",120
306,"{'tropical fruit', 'whole milk', 'root vegetables'}",118
307,"{'tropical fruit', 'other vegetables', 'root vegetables'}",121
308,"{'soda', 'whole milk', 'other vegetables'}",137
309,"{'yogurt', 'other vegetables', 'root vegetables'}",127
310,"{'yogurt', 'whole milk', 'root vegetables'}",143
311,"{'whole milk', 'other vegetables', 'pip fruit'}",133
312,"{'yogurt', 'whole milk', 'rolls/buns'}",153
313,"{'yogurt', 'whole milk', 'citrus fruit'}",101
314,"{'yogurt', 'rolls/buns', 'other vegetables'}",113
315,"{'whole milk', 'fruit/vegetable juice', 'other vegetables'}",103
316,"{'bottled water', 'whole milk', 'other vegetables'}",106
317,"{'domestic eggs', 'whole milk', 'other vegetables'}",121
318,"{'tropical fruit', 'whole milk', 'rolls/buns'}",108
319,"{'whole milk', 'other vegetables', 'root vegetables'}",228
320,"{'pastry', 'whole milk', 'other vegetables'}",104
321,"{'whole milk', 'other vegetables', 'sausage'}",100
322,"{'yogurt', 'tropical fruit', 'other vegetables'}",121
323,"{'yogurt', 'whole milk', 'tropical fruit'}",149
324,"{'whole milk', 'other vegetables', 'whipped/sour cream'}",144
325,"{'yogurt', 'whole milk', 'other vegetables'}",219
